Game ID,Game Name,Brand,Category,Image URL
,"2 Hand Casino Hold'em","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6312/public
,"American Roulette","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6320/public
,"Auto-Roulette","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6323/public
,"Auto-Roulette La Partage","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6317/public
,"Auto-Roulette VIP","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6316/public
,"Bac Bo","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6472/public
,"Baccarat A","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6442/public
,"Baccarat B","Evolution Live",CasinoLive,https://ik.imagekit.io/f4rqxekfu/games/full_library/thumb_3_4_custom__78_.webp
,"Baccarat C","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6439/public
,"Baccarat Control Squeeze","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6434/public
,"Baccarat Squeeze","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6273/public
,"Blackjack A","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6423/public
,"Blackjack B","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6420/public
,"Blackjack C","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6421/public
,"Blackjack Diamond VIP","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6340/public
,"Blackjack Fortune VIP","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6341/public
,"Blackjack Grand VIP","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6342/public
