Game ID,Game Name,Brand,Category,Image URL
,"Aviator Extra Bet","JDB",Slot,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10040/public
,"Banana Saga","JDB",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/542/public
,"Beauty And The Kingdom","JDB",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/318/public
,"Beer Tycoon","JDB",chess,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/817/public
,"Big Three Dragons","JDB",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/438/public
,"Billionaire","JDB",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/94/public
,"Birds And Animals","JDB",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1009/public
,"Birds Party","JDB",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/556/public
,"Birds Party Deluxe","JDB",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/544/public
,"Blossom Of Wealth","JDB",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1079/public
,"Book Of Mystery","JDB",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/81/public
,"Cai Shen Bingo","JDB",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1102/public
,"Cai Shen Fishing","JDB",Fishing,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/496/public
,"Caishen Coming","JDB",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/308/public
,"Caishen Party","JDB",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/454/public
,"Classic Mario","JDB",chess,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/445/public
,"CooCooFarm","JDB",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/958/public
,"Crazy King Kong","JDB",chess,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/892/public
,"Dice","JDB",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/477/public
,"Double Wilds","JDB",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/558/public
,"Dragon","JDB",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/526/public
,"Dragon Fishing","JDB",Fishing,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/72/public
,"Dragon Fishing Ii","JDB",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/488/public
,"Dragon Master","JDB",Fishing,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1115/public
,"Dragon Soar","JDB",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/678/public
