Game ID,Game Name,Brand,Category,Image URL
,"Alchemy Gold","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/701/public
,"Alibaba's Cave of Fortune","PGSoft",Slot Game,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10126/public
,"Anubis Wrath","PGSoft",Slot Game,https://igamingapis.com/img/10100.png
,"Asgardian Rising","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/40/public
,"Baccarat Deluxe","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/145/public
,"Bakery Bonanza","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/953/public
,"Bali Vacation","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/909/public
,"Battleground Royale","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1068/public
,"Bikini Paradise","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/102/public
,"Buffalo Win","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/175/public
,"Butterfly Blossom","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/73/public
,"Caishen Wins","PGSoft",Slot Game,https://igamingapis.com/img/10078.png
,"Candy Bonanza","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/870/public
,"Candy Burst","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/172/public
,"Captain's Bounty","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/937/public
,"Cash Mania","PGSoft",Slot Game,https://igamingapis.com/img/10096.png
,"Chicky Run","PGSoft",Gamble Game,https://igamingapis.com/img/10101.png
,"Chocolate Deluxe","PGSoft",Slot Game,https://igamingapis.com/img/10115.png
,"Circus Delight","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/410/public
