Game ID,Game Name,Brand,Category,Image URL
,"Aviator","Spribe",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/737/public
,"Balloon","Spribe",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1019/public
,"Dice","Spribe",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/635/public
,"Goal","Spribe",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/904/public
,"Hi Lo","Spribe",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/775/public
,"Hotline","Spribe",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/826/public
,"Keno","Spribe",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/894/public
,"Keno 80","Spribe",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/551/public
,"Mines","Spribe",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/426/public
,"Mini Roulette","Spribe",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/723/public
,"Plinko","Spribe",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/478/public
,"Trader","Spribe",Casino,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/5808/public
